number,title,genre,rating,casting,place,period
81,맘마미아,라이선스,9.4,"['최정원', '신영숙', '루나', '이수빈', '홍지민', '김영주', '박준면', '오기쁨', '남경주', '김정민', '이현우', '성기윤', '오세준', '호산', '신현묵', '문지수', '김시영', '최원섭', '서만석', '변형범', '전찬욱']",LG아트센터,2019/07/14 ~ 2019/09/14 
82,아이언 마스크,라이선스,9.4,"['산들', '노태현', '김동한', '이건명', '김준현', '신성우', '서범석', '김법래', '장대웅', '윤영석', '박상돈', '백주연', '김아선', '정명은', '조영경', '이은율', '양지원', '박근식', '김효성', '이강', '김의환', '이한울', '이성빈', '이승현']",광림아트센터 BBCH홀,2019/11/23 ~ 2020/01/26 
83,광염 소나타,창작,9.3,"['박한근', '문태유', '려욱', '신원호', '김지철', '켄', '이지훈', '이선근']",코엑스아티움,2019/04/26 ~ 2019/05/12 
84,메피스토,라이선스,9,"['남우현', '켄', '노태현', '남태현', '신성우', '김법래', '문종원', '선우', '린지', '나영', '최성원', '정상윤', '김수용', '백주연', '황한나', '백시호', '김효성', '이강', '유영민', '장나겸', '신혁수', '정지은', '유주연']",광림아트센터 BBCH홀,2019/05/25 ~ 2019/07/28 
85,다윈 영의 악의 기원,창작,9.6,"['최우혁', '박은석', '송문선', '강상준', '금승훈', '신상언', '김백현', '최인형']",예술의전당 CJ 토월극장,2019/10/15 ~ 2019/10/27 
86,경종수정실록,뮤지컬,9.2,"['에녹', '성두섭', '정동화', '신성민', '박정원', '홍승안', '정민', '김종구', '주민진']",대학로 티오엠 1관,2019/10/27 ~ 2020/01/12 
87,미인 ,창작,9.6,"['정원영', '이승현', '허혜진', '권용국', '김찬호', '백예은', '김송이', '이민재']",과천 시민회관 대극장,2019/11/15 ~ 2019/11/16 
88,앤,창작,9.5,"['도창선', '박세화', '홍가경', '최현미', '김은주', '하미미', '송영미', '홍나현', '신정은', '신혜지', '조은진', '안상은', '임찬민', '이랑서', '김이후', '정서희', '조혜령', '정문길', '현석준', '김민강']",콘텐츠 그라운드(구 브로드웨이 아트홀 3관),2019/11/30 ~ 2020/01/05 
89,그리스 쇼케이스,뮤지컬,7.3,"['서경수', '김태오', '정세운', '양서윤', '한재아', '박광선', '임정모', '허혜진', '황우림', '기세중', '이석준', '김이후', '정수지', '김이담', '이상운', '임남정', '이가은', '이우종', '배나라', '정예주', '이상아', '이선덕', '이동욱', '길하은', '정현지']",예스24 라이브홀 (구 악스코리아),2019/02/13 ~ 2019/02/13 
90,리틀잭,뮤지컬,9.5,"['정민', '유승현', '박규원', '황민수', '김여진', '홍지희', '이혜수']",대학로 티오엠 2관,2019/07/13 ~ 2019/09/08 
91,빨래,창작,9.7,"['강기헌', '이진혁', '김미미', '김청아', '강나리', '강정임', '허순미', '김지혜', '한우열', '심우성', '김지훈', '박준성', '서인권', '나경호', '김유정', '서태인']",동양예술극장 1관 (구.아트센터K 네모극장),2019/09/10 ~ 2020/03/27 
92,에드거 앨런 포,라이선스,9,"['김수용', '허규', '박한근', '이영미', '안유진', '이주광', '박영수', '오진영', '신의정', '김사라', '임동현', '신혁수', '이수안', '정지은', '전해주']",JTN 아트홀 1관,2019/08/27 ~ 2019/10/04 
93,빠리빵집,창작,9.1,"['신주협', '임철수', '전미도', '최호중']",우란문화재단 우란2경,2019/01/12 ~ 2019/01/14 
94,푸에르자부르타 웨이라,퍼포먼스,9,"['장우혁', '최여진', '은혁']",잠실종합운동장 내 빅탑,2019/04/23 ~ 2019/08/11 
95,페치카,창작,,"['임현수', '백효성', '차은진', '배준성', '박성훈', '유재돈', '윤주희', '맹선화', '김성녀', '김민들레', '문학연', '최신우', '박혜림', '서미소', '김은아']",세종문화회관 대극장,2019/02/20 ~ 2019/02/20 
96,사춘기 콘서트,뮤지컬,9.8,"['박란주', '고훈정', '최성원', '조형균', '윤나무', '신성민', '김다흰', '박정원', '김성철', '임병택', '강윤정']",서경대학교 공연예술센터 SKON2관,2019/05/27 ~ 2019/05/27 
97,블랙슈트,뮤지컬,8.2,"['이승현', '유성재', '왕시명', '조풍래', '양지원', '이승헌', '김순택', '박규원', '최민우', '김상협', '최문석']",대학로 자유극장,2019/08/02 ~ 2019/10/13 
